,2007 Average Daily Attendance %,2011 Average Daily Attendance %,Trend: Average Daily Attendance %,2004 Students Enrolled in Gifted Programs %,2006 Students Enrolled in Gifted Programs %,2011 Students Enrolled in Gifted Programs %,2013 Students Enrolled in Gifted Programs %,Trend: Students Enrolled in Gifted Programs %,2018 Percentage of HS Drop Outs Age 16-24,2019 8th Grade Reading Scores,2007 Average Base Teacher Salary w/ Bachelors,2011 Average Base Teacher Salary w/ Bachelors,2017 Average Base Teacher Salary w/ Bachelors,Trend: Average Base Teacher Salary w/ Bachelors,2007 Average Base Teacher Salary w/ Masters Constant Dollars,2011 Average Base Teacher Salary w/ Masters Constant Dollars,2017 Average Base Teacher Salary w/ Masters Constant Dollars,Trend: Average Base Teacher Salary w/ Masters Constant Dollars,2005 Teacher Percentage of School Staff,2010 Teacher Percentage of School Staff,2015 Teacher Percentage of School Staff,2018 Teacher Percentage of School Staff,Trend: Teacher Percentage of School Staff,2018 Number of Education Agencies,2006 Average Freshman Graduation Rate,2007 Average Freshman Graduation Rate,2008 Average Freshman Graduation Rate,2009 Average Freshman Graduation Rate,2010 Average Freshman Graduation Rate,2011 Average Freshman Graduation Rate,2012 Average Freshman Graduation Rate,Trend: Average Freshman Graduation Rate,2005 4th Grade Reading Scores,2007 4th Grade Reading Scores,2009 4th Grade Reading Scores,2011 4th Grade Reading Scores,2013 4th Grade Reading Scores,2015 4th Grade Reading Scores,2017 4th Grade Reading Scores,2019 4th Grade Reading Scores,Trend: 4th Grade Reading Scores,2005 8th Grade Math Scores,2007 8th Grade Math Scores,2009 8th Grade Math Scores,2011 8th Grade Math Scores,2013 8th Grade Math Scores,2015 8th Grade Math Scores,2017 8th Grade Math Scores,2019 8th Grade Math Scores,Trend: 8th Grade Math Scores,2005 4th Grade Math Scores,2007 4th Grade Math Scores,2009 4th Grade Math Scores,2011 4th Grade Math Scores,2013 4th Grade Math Scores,2015 4th Grade Math Scores,2017 4th Grade Math Scores,2019 4th Grade Math Scores,Trend: 4th Grade Math Scores,1979 Overall Average Teacher Salary,1989 Overall Average Teacher Salary,1999 Overall Average Teacher Salary,2009 Overall Average Teacher Salary,2017 Overall Average Teacher Salary,2018 Overall Average Teacher Salary,Trend: Overall Average Teacher Salary,2000 % of Public Schools That Are Charters,2010 % of Public Schools That Are Charters,2016 % of Public Schools That Are Charters,2017 % of Public Schools That Are Charters,2018 % of Public Schools That Are Charters,Trend: % of Public Schools That Are Charters,2010 Adjusted Cohort Graduation Rate,2011 Adjusted Cohort Graduation Rate,2012 Adjusted Cohort Graduation Rate,2013 Adjusted Cohort Graduation Rate,2014 Adjusted Cohort Graduation Rate,2015 Adjusted Cohort Graduation Rate,2016 Adjusted Cohort Graduation Rate,2017 Adjusted Cohort Graduation Rate,Trend: Adjusted Cohort Graduation Rate
ME,56.923,62.0,4.319,21.429,19.876,28.662,30.189,18.979,92.453,50.0,26.595,32.572,29.5,2.016,27.893,18.479,38.801,3.818,14.493,35.608,19.669,18.875,-4.226,1.476,70.845,68.75,68.605,74.405,70.866,81.928,77.519,1.833,85.0,74.359,68.75,58.333,73.077,60.714,48.276,54.839,-0.252,76.596,76.0,71.111,74.359,66.667,64.706,58.065,52.0,0.056,83.333,73.684,75.758,70.968,70.833,55.0,55.0,55.0,0.004,7.951,25.539,28.288,22.166,22.617,23.316,5.653,0.549,0.0,3.043,3.629,4.0,-22.963,86.207,86.667,85.714,86.667,86.364,81.818,80.0,81.818,0.506
MD,86.154,56.0,-0.213,98.571,100.0,100.0,100.0,5.356,77.358,46.667,74.688,42.271,36.937,-8.103,54.427,50.722,57.425,0.671,27.899,45.401,36.581,35.753,-0.188,0.131,75.219,72.619,69.186,72.619,65.879,75.301,70.155,1.139,72.5,71.795,75.0,83.333,100.0,57.143,62.069,51.613,0.023,70.213,76.0,75.556,71.795,61.111,58.824,48.387,44.0,0.11,75.0,68.421,75.758,80.645,66.667,40.0,60.0,45.0,0.069,37.162,68.728,65.277,76.637,62.852,61.736,5.018,0.0,7.059,6.897,7.056,7.0,5.425,82.759,83.333,82.143,83.333,81.818,86.364,85.0,81.818,0.678
MA,90.0,48.0,-1.163,5.714,4.348,3.822,2.516,-13.69,96.226,76.667,75.498,79.146,61.847,-0.705,71.013,68.376,83.572,4.037,35.145,62.315,45.221,43.739,1.363,2.356,77.551,75.893,78.488,73.81,70.079,81.325,81.008,1.518,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.097,0.013,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.103,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,0.004,35.177,61.375,76.312,92.804,90.153,90.458,8.234,12.088,8.0,8.519,8.669,8.8,20.695,82.759,86.667,82.143,83.333,81.818,86.364,85.0,86.364,0.843
MI,77.692,10.0,-1.505,27.857,21.118,11.465,7.547,-29.506,58.491,43.333,61.593,45.647,27.481,-8.504,73.12,58.974,60.508,-3.32,16.667,31.157,27.39,25.408,-2.03,4.87,66.472,60.417,55.233,53.869,41.995,54.217,41.86,0.296,67.5,58.974,50.0,50.0,42.308,32.143,37.931,45.161,0.003,68.085,58.0,53.333,51.282,41.667,44.118,45.161,44.0,0.155,75.0,63.158,51.515,45.161,33.333,25.0,35.0,30.0,-0.12,50.866,72.174,87.051,58.301,43.218,40.31,-0.411,28.022,18.118,22.11,19.758,20.2,21.377,51.724,56.667,53.571,60.0,50.0,50.0,45.0,54.545,1.305
MN,78.462,40.0,0.0,57.857,54.658,50.318,44.654,-3.483,90.566,46.667,38.677,38.232,29.693,-1.645,52.8,41.202,72.2,7.391,20.29,38.576,29.963,29.038,-1.312,3.077,94.169,90.476,90.407,90.476,80.052,87.048,91.085,0.856,85.0,71.795,65.625,58.333,80.769,57.143,62.069,58.065,-0.183,95.745,88.0,88.889,89.744,83.333,91.176,90.323,88.0,0.051,97.222,86.842,90.909,87.097,100.0,95.0,100.0,90.0,0.119,26.446,49.833,46.769,41.451,32.711,31.37,2.86,17.033,17.412,17.85,17.742,18.4,40.544,62.069,63.333,64.286,66.667,59.091,59.091,60.0,63.636,1.081
MS,70.769,66.0,2.497,42.857,37.888,42.038,41.509,3.834,37.736,20.0,17.854,4.27,9.759,-2.979,10.747,12.467,16.749,0.214,11.594,36.202,29.412,29.946,0.717,0.853,27.114,23.512,16.57,17.857,25.722,23.494,3.488,1.302,32.5,28.205,28.125,22.222,11.538,25.0,27.586,48.387,1.025,36.17,34.0,24.444,23.077,16.667,23.529,16.129,20.0,0.644,44.444,36.842,24.242,25.806,8.333,15.0,30.0,55.0,0.863,0.0,13.692,12.142,20.757,0.0,0.0,4.194,0.549,0.0,0.609,0.605,1.0,-11.111,55.172,53.333,50.0,56.667,54.545,59.091,60.0,68.182,1.639
MO,91.538,80.0,0.316,27.143,22.36,24.841,25.786,3.616,56.604,43.333,10.26,6.521,4.672,-2.791,23.707,20.837,30.02,1.076,31.884,49.555,38.603,43.013,1.653,3.088,80.758,78.571,77.907,77.083,68.241,79.518,74.031,0.935,75.0,61.538,68.75,52.778,61.538,57.143,55.172,45.161,-0.187,65.957,66.0,71.111,56.41,50.0,52.941,48.387,48.0,0.263,66.667,65.789,66.667,58.065,45.833,40.0,55.0,40.0,0.185,11.928,26.512,28.701,19.76,11.14,11.137,2.713,4.945,5.176,6.085,5.645,5.8,44.428,75.862,83.333,85.714,86.667,86.364,90.909,85.0,90.909,1.364
MT,64.615,56.0,2.848,40.0,32.298,26.115,23.27,-11.966,47.17,50.0,14.917,13.274,13.962,-0.362,28.4,14.648,36.088,3.011,34.783,54.896,31.801,33.394,-2.121,2.645,79.592,77.381,74.709,71.726,65.617,78.916,66.667,0.652,85.0,76.923,71.875,66.667,65.385,64.286,51.724,58.065,-0.188,87.234,78.0,84.444,84.615,66.667,70.588,64.516,60.0,-0.096,83.333,78.947,75.758,70.968,62.5,50.0,60.0,55.0,0.002,17.494,17.301,13.293,21.106,19.975,20.985,2.773,0.0,0.0,0.0,0.0,0.0,0.0,79.31,83.333,78.571,80.0,77.273,77.273,75.0,77.273,0.687
NE,92.308,74.0,-0.105,81.429,70.807,74.522,74.843,1.735,79.245,46.667,8.1,13.969,9.732,0.338,23.067,28.795,22.2,-2.331,31.159,40.95,32.721,33.031,-1.73,1.519,93.586,82.738,77.326,77.381,81.627,100.0,100.0,1.359,75.0,66.667,65.625,61.111,65.385,71.429,58.621,58.065,0.069,82.979,72.0,66.667,58.974,55.556,67.647,70.968,64.0,0.052,75.0,63.158,60.606,58.065,58.333,65.0,85.0,70.0,0.358,10.846,19.32,18.158,22.534,23.63,22.156,4.541,0.0,0.0,0.0,0.0,0.0,0.0,93.103,96.667,96.429,96.667,90.909,90.909,90.0,90.909,0.496
NV,81.538,56.0,0.428,13.571,11.801,12.102,20.126,23.421,9.434,26.667,31.792,37.67,26.486,-0.67,39.973,30.651,41.663,0.215,86.594,89.318,100.0,100.0,9.633,0.109,0.0,0.893,0.0,0.0,0.0,0.0,0.0,3.817,40.0,35.897,28.125,33.333,30.769,25.0,27.586,45.161,0.745,53.191,46.0,44.444,46.154,36.111,35.294,29.032,20.0,0.213,52.778,47.368,48.485,48.387,29.167,15.0,15.0,30.0,0.373,28.938,42.512,44.975,38.685,23.802,21.595,0.704,8.791,12.471,15.213,20.968,23.2,80.741,10.345,13.333,32.143,30.0,9.091,22.727,50.0,63.636,4.355
NH,71.538,0.0,-1.193,16.429,16.149,8.28,6.918,-15.799,94.34,60.0,47.384,49.553,42.438,0.371,44.107,36.163,47.583,0.907,18.841,33.531,27.022,25.953,-2.241,1.662,80.175,81.25,81.395,84.821,73.228,82.831,76.744,1.114,90.0,82.051,84.375,80.556,100.0,89.286,75.862,64.516,-0.184,85.106,80.0,84.444,82.051,86.111,91.176,87.097,72.0,0.107,97.222,92.105,96.97,96.774,100.0,90.0,80.0,75.0,-0.053,7.597,35.17,37.759,38.437,32.841,31.184,7.395,0.0,6.824,12.779,12.702,14.6,44.371,93.103,90.0,89.286,90.0,86.364,86.364,90.0,90.909,0.493
NJ,90.0,48.0,-1.163,49.286,43.478,40.764,36.478,-4.975,96.226,66.667,90.415,96.69,84.545,2.179,87.307,76.304,84.312,0.034,35.87,56.677,31.434,31.397,-3.008,3.717,88.047,85.119,84.302,87.5,73.228,81.024,83.721,0.916,80.0,87.179,84.375,83.333,88.462,78.571,89.655,74.194,0.272,82.979,82.0,86.667,87.179,86.111,88.235,83.871,92.0,0.402,91.667,92.105,84.848,83.871,75.0,70.0,95.0,80.0,0.122,34.578,65.784,100.0,80.17,63.59,61.114,5.283,12.088,6.824,6.897,6.855,6.8,12.265,82.759,90.0,92.857,93.333,95.455,95.455,100.0,100.0,1.33
NM,69.231,34.0,0.979,76.429,24.845,28.662,27.673,-16.597,0.0,6.667,30.881,24.263,16.533,-4.402,23.36,27.999,24.938,-1.304,9.42,38.279,48.346,46.642,7.675,0.82,14.286,32.143,24.709,28.274,31.496,44.578,15.891,3.4,40.0,38.462,18.75,19.444,0.0,0.0,3.448,12.903,0.077,38.298,40.0,35.556,35.897,22.222,23.529,9.677,0.0,0.328,36.111,36.842,33.333,35.484,16.667,0.0,5.0,5.0,0.444,19.773,15.814,15.181,22.628,5.664,5.586,-0.06,7.143,22.118,23.124,22.177,22.0,160.211,13.793,36.667,28.571,26.667,0.0,9.091,0.0,22.727,2.401
NY,75.385,32.0,0.0,15.714,18.012,8.917,10.063,-1.041,67.925,40.0,65.947,94.273,68.095,4.179,100.0,100.0,100.0,0.578,55.435,46.884,43.75,40.29,-2.792,5.52,42.857,44.345,50.0,54.167,49.606,53.012,42.636,2.208,80.0,69.231,68.75,58.333,69.231,57.143,51.724,51.613,-0.191,74.468,64.0,64.444,51.282,47.222,50.0,51.613,44.0,0.003,75.0,76.316,66.667,51.613,45.833,30.0,35.0,35.0,-0.054,51.836,80.653,95.662,100.0,100.0,100.0,6.142,4.945,8.471,11.359,11.694,12.2,91.075,62.069,60.0,53.571,56.667,45.455,50.0,55.0,59.091,0.907
NC,74.615,72.0,2.268,77.857,67.081,66.879,62.264,-2.81,54.717,43.333,19.642,10.262,12.745,-2.409,8.293,8.871,17.637,1.75,33.333,46.588,37.868,37.568,-0.489,1.711,41.983,50.0,54.651,56.845,47.507,57.831,50.388,2.718,65.0,53.846,53.125,55.556,61.538,67.857,58.621,54.839,0.266,78.723,72.0,66.667,66.667,58.333,52.941,51.613,60.0,0.104,83.333,73.684,75.758,74.194,66.667,65.0,60.0,55.0,0.002,14.76,30.123,45.036,24.433,16.044,20.838,3.672,22.527,9.176,12.982,13.105,14.0,17.12,65.517,70.0,75.0,76.667,77.273,77.273,80.0,77.273,1.416
ND,100.0,82.0,-0.73,22.143,17.391,20.382,13.836,-7.374,92.453,43.333,10.53,20.622,28.173,7.117,37.413,21.869,39.023,0.798,34.783,48.961,36.029,34.664,-1.796,1.224,84.257,82.738,90.407,91.071,82.677,95.181,92.636,1.608,85.0,74.359,75.0,69.444,69.231,64.286,51.724,54.839,-0.254,89.362,88.0,86.667,82.051,72.222,73.529,70.968,68.0,-0.046,88.889,81.579,78.788,74.194,70.833,70.0,75.0,65.0,0.001,9.2,7.851,3.452,12.584,20.162,19.496,4.459,0.0,0.0,0.0,0.0,0.0,0.0,93.103,93.333,92.857,86.667,81.818,86.364,80.0,86.364,0.334
OH,68.462,54.0,2.179,52.857,45.342,22.93,26.415,-11.483,60.377,56.667,38.306,41.245,33.011,-0.302,53.227,42.028,55.624,1.027,22.101,29.674,0.0,0.0,-13.45,5.81,71.429,68.452,67.733,70.238,61.942,73.494,67.442,1.274,80.0,74.359,71.875,63.889,69.231,64.286,62.069,58.065,-0.061,80.851,74.0,71.111,74.359,69.444,64.706,70.968,68.0,0.155,86.111,81.579,75.758,70.968,70.833,65.0,60.0,55.0,-0.056,22.259,45.384,53.892,52.204,33.267,30.324,3.642,9.341,21.176,20.487,18.952,17.8,107.346,72.414,73.333,71.429,70.0,54.545,68.182,65.0,59.091,0.37
OK,70.769,66.0,2.497,100.0,85.093,87.898,85.535,-0.707,20.755,26.667,14.917,6.72,0.0,-6.439,0.0,50.722,0.0,1.265,28.261,44.214,32.904,32.668,-1.388,3.247,68.805,65.476,61.047,61.607,55.643,59.639,46.124,0.345,57.5,51.282,46.875,38.889,42.308,53.571,34.483,38.71,0.143,55.319,54.0,48.889,48.718,30.556,35.294,29.032,28.0,0.265,63.889,60.526,54.545,48.387,41.667,45.0,40.0,35.0,0.185,8.184,8.099,9.707,26.998,3.495,16.961,4.819,1.648,2.353,5.477,6.452,6.8,107.025,68.966,70.0,82.143,73.333,63.636,59.091,60.0,59.091,0.568
OR,88.462,62.0,-0.212,50.714,42.857,42.675,40.252,-2.893,43.396,46.667,59.534,60.377,50.429,-0.285,35.707,40.584,46.473,2.605,13.406,26.409,23.162,21.053,-3.195,1.208,57.143,61.607,58.721,55.06,50.919,55.723,36.047,0.683,65.0,46.154,50.0,41.667,50.0,46.429,37.931,45.161,0.07,78.723,72.0,68.889,58.974,52.778,58.824,51.613,44.0,-0.1,75.0,57.895,57.576,48.387,45.833,35.0,20.0,30.0,-0.113,28.751,43.654,57.813,49.967,46.145,46.66,4.108,4.945,19.529,20.284,20.565,21.0,211.911,31.034,30.0,25.0,36.667,22.727,27.273,30.0,45.455,2.173
PA,92.308,66.0,-0.527,34.286,27.95,23.567,22.642,-8.146,66.038,46.667,62.977,71.235,57.23,1.057,68.747,59.917,71.806,1.388,27.536,39.763,34.007,33.575,-0.884,4.301,83.965,79.464,70.349,78.274,71.129,86.747,81.008,1.083,80.0,74.359,68.75,72.222,76.923,71.429,62.069,61.29,0.005,76.596,76.0,75.556,66.667,69.444,61.765,64.516,64.0,0.21,83.333,78.947,75.758,77.419,62.5,60.0,65.0,70.0,0.18,30.371,55.086,83.899,61.954,57.53,55.977,5.266,10.989,10.588,12.17,12.097,12.2,40.0,82.759,83.333,85.714,80.0,72.727,77.273,80.0,77.273,0.516
RI,83.077,70.0,0.961,12.857,8.696,2.548,1.258,-42.169,83.019,40.0,98.886,42.271,86.453,4.76,54.427,50.722,84.435,10.172,54.71,73.887,42.463,38.838,-3.416,0.339,70.554,60.714,55.233,55.357,46.982,53.012,44.574,0.141,62.5,56.41,65.625,58.333,65.385,64.286,55.172,51.613,0.269,57.447,54.0,53.333,58.974,52.778,52.941,35.484,28.0,0.215,61.111,57.895,60.606,64.516,50.0,35.0,45.0,45.0,0.368,40.052,67.528,78.32,63.572,55.55,53.246,3.1,4.945,11.765,19.27,19.758,21.8,139.984,62.069,60.0,64.286,66.667,63.636,63.636,65.0,68.182,1.26
SC,92.308,90.0,0.738,90.714,68.323,75.796,83.648,2.457,49.057,30.0,20.047,16.617,8.764,-4.223,21.6,15.856,22.126,-1.288,100.0,100.0,60.294,50.091,-6.119,0.547,13.703,18.452,28.198,30.952,27.034,36.446,25.969,3.936,55.0,43.59,43.75,38.889,30.769,39.286,20.69,38.71,0.209,76.596,68.0,57.778,53.846,41.667,38.235,29.032,28.0,-0.254,75.0,60.526,51.515,48.387,33.333,30.0,25.0,35.0,-0.057,7.897,27.076,30.554,26.44,13.374,11.958,4.064,3.846,8.471,11.359,11.29,12.4,120.139,51.724,53.333,57.143,63.333,50.0,63.636,65.0,54.545,1.328
SD,82.308,100.0,2.671,15.714,16.77,12.102,11.95,-1.066,43.396,43.333,0.0,0.0,16.616,6.535,6.64,50.722,22.866,5.792,17.029,39.763,32.721,34.12,1.235,0.902,82.507,84.524,73.837,71.429,60.105,71.084,63.178,0.277,77.5,66.667,62.5,52.778,46.154,46.429,51.724,58.065,0.003,89.362,80.0,82.222,79.487,61.111,64.706,64.516,72.0,0.003,86.111,71.053,69.697,61.29,50.0,45.0,65.0,55.0,-0.058,3.243,0.0,0.0,0.0,6.883,7.967,3.931,0.0,0.0,0.0,0.0,0.0,0.0,82.759,80.0,75.0,73.333,68.182,68.182,65.0,68.182,0.172
