,2007 Average Daily Attendance %,2011 Average Daily Attendance %,Trend: Average Daily Attendance %,2004 Students Enrolled in Gifted Programs %,2006 Students Enrolled in Gifted Programs %,2011 Students Enrolled in Gifted Programs %,2013 Students Enrolled in Gifted Programs %,Trend: Students Enrolled in Gifted Programs %,2018 Percentage of HS Drop Outs Age 16-24,2019 8th Grade Reading Scores,2007 Average Base Teacher Salary w/ Bachelors,2011 Average Base Teacher Salary w/ Bachelors,2017 Average Base Teacher Salary w/ Bachelors,Trend: Average Base Teacher Salary w/ Bachelors,2007 Average Base Teacher Salary w/ Masters Constant Dollars,2011 Average Base Teacher Salary w/ Masters Constant Dollars,2017 Average Base Teacher Salary w/ Masters Constant Dollars,Trend: Average Base Teacher Salary w/ Masters Constant Dollars,2005 Teacher Percentage of School Staff,2010 Teacher Percentage of School Staff,2015 Teacher Percentage of School Staff,2018 Teacher Percentage of School Staff,Trend: Teacher Percentage of School Staff,2018 Number of Education Agencies,2006 Average Freshman Graduation Rate,2007 Average Freshman Graduation Rate,2008 Average Freshman Graduation Rate,2009 Average Freshman Graduation Rate,2010 Average Freshman Graduation Rate,2011 Average Freshman Graduation Rate,2012 Average Freshman Graduation Rate,Trend: Average Freshman Graduation Rate,2005 4th Grade Reading Scores,2007 4th Grade Reading Scores,2009 4th Grade Reading Scores,2011 4th Grade Reading Scores,2013 4th Grade Reading Scores,2015 4th Grade Reading Scores,2017 4th Grade Reading Scores,2019 4th Grade Reading Scores,Trend: 4th Grade Reading Scores,2005 8th Grade Math Scores,2007 8th Grade Math Scores,2009 8th Grade Math Scores,2011 8th Grade Math Scores,2013 8th Grade Math Scores,2015 8th Grade Math Scores,2017 8th Grade Math Scores,2019 8th Grade Math Scores,Trend: 8th Grade Math Scores,2005 4th Grade Math Scores,2007 4th Grade Math Scores,2009 4th Grade Math Scores,2011 4th Grade Math Scores,2013 4th Grade Math Scores,2015 4th Grade Math Scores,2017 4th Grade Math Scores,2019 4th Grade Math Scores,Trend: 4th Grade Math Scores,1979 Overall Average Teacher Salary,1989 Overall Average Teacher Salary,1999 Overall Average Teacher Salary,2009 Overall Average Teacher Salary,2017 Overall Average Teacher Salary,2018 Overall Average Teacher Salary,Trend: Overall Average Teacher Salary,2000 % of Public Schools That Are Charters,2010 % of Public Schools That Are Charters,2016 % of Public Schools That Are Charters,2017 % of Public Schools That Are Charters,2018 % of Public Schools That Are Charters,Trend: % of Public Schools That Are Charters,2010 Adjusted Cohort Graduation Rate,2011 Adjusted Cohort Graduation Rate,2012 Adjusted Cohort Graduation Rate,2013 Adjusted Cohort Graduation Rate,2014 Adjusted Cohort Graduation Rate,2015 Adjusted Cohort Graduation Rate,2016 Adjusted Cohort Graduation Rate,2017 Adjusted Cohort Graduation Rate,Trend: Adjusted Cohort Graduation Rate
OH,68.462,54.0,2.0,50.0,42.857,22.93,25.478,-1.29,60.377,56.667,38.306,41.245,33.011,-175.0,53.227,42.028,55.624,-105.0,22.101,29.674,0.0,0.0,-6.9,5.81,71.429,68.452,67.733,70.238,61.942,73.494,67.442,1.111,80.0,74.359,71.875,63.889,69.231,64.286,62.069,58.065,-0.143,80.851,74.0,71.111,74.359,69.444,64.706,70.968,68.0,0.405,86.111,81.579,75.758,70.968,70.833,65.0,60.0,55.0,-0.298,22.259,45.384,53.892,52.204,33.267,30.324,975.2,9.341,21.176,20.487,18.952,17.8,1.48,72.414,73.333,71.429,70.0,54.545,68.182,65.0,59.091,0.405
OK,70.769,66.0,2.3,100.0,84.416,87.898,85.35,-0.07,20.754999999999995,26.667,14.917,6.72,0.0,-2680.0,0.0,50.722,0.0,-1400.0,28.261,44.214,32.904,32.668,-0.71,3.247,68.805,65.476,61.047,61.607,55.643,59.639,46.124,0.357,57.5,51.282,46.875,38.889,42.308,53.571,34.483,38.71,0.369,55.319,54.0,48.889,48.718,30.556,35.294,29.032,28.0,0.345,63.889,60.526,54.545,48.387,41.667,45.0,40.0,35.0,0.381,8.184,8.099,9.707,26.998,3.495,16.961,1739.886,1.648,2.353,5.477,6.452,6.8,0.84,68.966,70.0,82.143,73.333,63.636,59.091,60.0,59.091,0.321
OR,88.462,62.0,-0.2,47.727,40.26,42.675,39.49,-0.19,43.396,46.667,59.534,60.377,50.429,-170.0,35.707,40.584,46.473,1325.0,13.406,26.409,23.162,21.053,-1.33,1.208,57.143,61.607,58.721,55.06,50.919,55.723,36.047,0.471,65.0,46.154,50.0,41.667,50.0,46.429,37.931,45.161,0.369,78.723,72.0,68.889,58.974,52.778,58.824,51.613,44.0,-0.345,75.0,57.895,57.576,48.387,45.833,35.0,20.0,30.0,-0.31,28.751,43.654,57.813,49.967,46.145,46.66,1895.829,4.945,19.529,20.284,20.565,21.0,2.11,31.034,30.0,25.0,36.667,22.727,27.273,30.0,45.455,1.69
PA,92.308,66.0,-0.5,30.303,24.675,23.567,21.656,-0.4,66.038,46.667,62.977,71.235,57.23,550.0,68.747,59.917,71.806,265.0,27.536,39.763,34.007,33.575,-0.29,4.301,83.965,79.464,70.349,78.274,71.129,86.747,81.008,1.168,80.0,74.359,68.75,72.222,76.923,71.429,62.069,61.29,0.036,76.596,76.0,75.556,66.667,69.444,61.765,64.516,64.0,0.238,83.333,78.947,75.758,77.419,62.5,60.0,65.0,70.0,0.071,30.371,55.086,83.899,61.954,57.53,55.977,2156.171,10.989,10.588,12.17,12.097,12.2,0.97,82.759,83.333,85.714,80.0,72.727,77.273,80.0,77.273,0.429
RI,83.077,70.0,0.9,7.576,4.545,2.548,0.0,-0.54,83.019,40.0,98.886,42.271,86.453,515.0,54.427,50.722,84.435,5510.0,54.71,73.887,42.463,38.838,-2.36,0.339,70.554,60.714,55.233,55.357,46.982,53.012,44.574,0.161,62.5,56.41,65.625,58.333,65.385,64.286,55.172,51.613,0.655,57.447,54.0,53.333,58.974,52.778,52.941,35.484,28.0,0.571,61.111,57.895,60.606,64.516,50.0,35.0,45.0,45.0,0.571,40.052,67.528,78.32,63.572,55.55,53.246,845.429,4.945,11.765,19.27,19.758,21.8,2.48,62.069,60.0,64.286,66.667,63.636,63.636,65.0,68.182,1.131
SC,92.308,90.0,0.7,90.152,66.883,75.796,83.439,0.31,49.057,30.0,20.047,16.617,8.764,-1855.0,21.6,15.856,22.126,-965.0,100.0,100.0,60.294,50.091,-4.16,0.547,13.703,18.452,28.198,30.952,27.034,36.446,25.969,2.418,55.0,43.59,43.75,38.889,30.769,39.286,20.69,38.71,0.25,76.596,68.0,57.778,53.846,41.667,38.235,29.032,28.0,-0.988,75.0,60.526,51.515,48.387,33.333,30.0,25.0,35.0,-0.226,7.897,27.076,30.554,26.44,13.374,11.958,892.4,3.846,8.471,11.359,11.29,12.4,1.3,51.724,53.333,57.143,63.333,50.0,63.636,65.0,54.545,1.298
SD,82.308,100.0,2.5,10.606,12.987,12.102,10.828,-0.13,43.396,43.333,0.0,0.0,16.616,2535.0,6.64,50.722,22.866,1990.0,17.029,39.763,32.721,34.12,0.6,0.902,82.507,84.524,73.837,71.429,60.105,71.084,63.178,0.043,77.5,66.667,62.5,52.778,46.154,46.429,51.724,58.065,-0.155,89.362,80.0,82.222,79.487,61.111,64.706,64.516,72.0,-0.381,86.111,71.053,69.697,61.29,50.0,45.0,65.0,55.0,-0.095,3.243,0.0,0.0,0.0,6.883,7.967,1794.229,0.0,0.0,0.0,0.0,0.0,0.0,82.759,80.0,75.0,73.333,68.182,68.182,65.0,68.182,0.19
TN,92.308,70.0,-0.3,18.939,6.494,15.287,8.28,-0.43,69.811,40.0,21.161,16.749,20.735,145.0,15.013,13.882,26.69,1195.0,32.246,49.258,37.316,30.853,-1.27,0.798,53.644,56.25,61.337,67.262,58.793,72.59,57.752,1.804,57.5,48.718,46.875,38.889,53.846,42.857,41.379,48.387,0.726,55.319,52.0,46.667,35.897,36.111,44.118,41.935,44.0,1.202,58.333,50.0,39.394,35.484,45.833,50.0,40.0,50.0,1.31,13.816,26.321,31.629,22.727,15.201,15.23,696.943,0.0,3.765,11.968,12.5,12.4,1.7,93.103,93.333,85.714,86.667,86.364,90.909,95.0,95.455,0.631
TX,86.154,82.0,1.1,54.545,44.805,48.408,46.497,-0.11,41.509,20.0,43.233,44.025,40.973,535.0,29.387,32.862,34.657,115.0,26.087,44.51,34.559,34.12,-0.21,6.69,51.603,50.893,55.523,62.798,59.58,70.783,62.403,2.175,70.0,58.974,53.125,47.222,42.308,39.286,27.586,38.71,-0.595,76.596,76.0,73.333,76.923,63.889,61.765,51.613,44.0,-0.452,86.111,73.684,63.636,61.29,54.167,65.0,60.0,70.0,0.262,14.857,28.352,37.03,28.736,21.393,21.285,1120.971,14.835,15.059,17.241,17.137,18.0,1.47,93.103,96.667,92.857,90.0,90.909,90.909,95.0,95.455,0.5
UT,65.385,44.0,1.9,28.788,27.922,24.204,28.025,-0.08,69.811,56.667,25.818,17.941,23.002,-135.0,27.467,18.98,36.655,880.0,25.0,40.95,34.926,33.938,-0.01,0.869,65.306,54.464,67.151,61.905,51.969,54.518,54.651,0.739,75.0,61.538,53.125,52.778,65.385,67.857,62.069,67.742,0.857,72.34,66.0,66.667,58.974,52.778,67.647,67.742,64.0,0.94,77.778,65.789,63.636,67.742,58.333,60.0,65.0,70.0,0.702,19.916,10.918,25.607,21.49,12.033,11.827,576.286,5.495,18.118,24.341,25.202,25.2,2.8,58.621,70.0,75.0,76.667,72.727,72.727,75.0,81.818,1.357
VT,75.385,58.0,1.3,0.0,0.649,1.274,0.637,-0.17,92.453,60.0,45.427,49.255,32.762,-1275.0,49.547,44.297,55.131,485.0,11.594,29.674,26.471,26.497,-0.21,1.623,100.0,99.107,96.802,100.0,89.239,97.59,84.496,0.382,90.0,79.487,84.375,72.222,84.615,82.143,65.517,58.065,-0.488,89.362,86.0,86.667,87.179,83.333,79.412,70.968,72.0,-0.274,91.667,84.211,87.879,80.645,79.167,60.0,60.0,45.0,-0.881,4.127,35.29,37.863,31.246,39.771,38.331,3262.829,0.0,0.0,0.0,0.0,0.0,0.0,96.552,96.667,89.286,90.0,86.364,86.364,90.0,72.727,-0.071
VA,90.769,78.0,0.3,85.606,77.273,74.522,75.159,-0.08,100.0,40.0,45.461,36.776,39.508,-60.0,34.56,30.71,47.361,1720.0,3.986,0.0,34.926,28.675,2.24,1.142,62.099,62.5,64.244,69.643,62.992,73.494,67.054,1.643,87.5,76.923,78.125,69.444,88.462,78.571,72.414,64.516,0.0,82.979,80.0,71.111,74.359,63.889,73.529,77.419,72.0,0.429,80.556,78.947,72.727,74.194,70.833,80.0,95.0,85.0,0.976,14.388,44.104,42.16,34.085,17.983,17.095,215.743,0.549,0.471,0.811,0.806,0.8,0.08,79.31,80.0,82.143,80.0,77.273,81.818,80.0,86.364,0.821
WA,0.0,22.0,9.3,22.727,20.779,21.656,19.108,-0.19,47.17,53.333,50.354,39.49,36.107,-1400.0,53.947,45.948,51.875,-1000.0,13.406,49.555,54.412,52.813,4.84,1.82,60.058,47.321,50.581,57.738,53.281,59.337,50.0,1.311,80.0,69.231,59.375,55.556,73.077,67.857,55.172,51.613,-0.083,85.106,74.0,77.778,71.795,69.444,70.588,74.194,68.0,0.274,86.111,76.316,69.697,67.742,70.833,70.0,65.0,50.0,-0.083,45.378,41.901,52.179,43.194,27.396,67.942,1333.171,0.0,0.0,0.609,0.806,1.0,0.14,58.621,60.0,50.0,56.667,40.909,50.0,40.0,81.818,1.179
WV,85.385,76.0,0.9,10.606,9.74,11.465,11.465,-0.06,56.604,20.0,9.011,12.843,12.773,505.0,17.733,17.359,13.789,-1930.0,32.609,48.961,36.029,36.116,-0.49,0.306,69.971,63.393,60.174,61.012,50.919,62.651,54.264,0.607,60.0,46.154,40.625,36.111,34.615,32.143,34.483,29.032,0.0,51.064,44.0,35.556,33.333,25.0,23.529,22.581,12.0,0.476,55.556,57.895,42.424,41.935,33.333,20.0,35.0,5.0,0.095,12.109,7.055,25.881,21.717,1.822,5.226,548.057,0.0,0.0,0.0,0.0,0.0,0.0,65.517,66.667,67.857,80.0,81.818,95.455,90.0,95.455,1.94
WI,93.077,76.0,-0.1,45.455,37.013,37.58,37.58,-0.22,83.019,56.667,37.192,29.163,24.247,-1595.0,47.307,36.163,44.647,-1220.0,49.638,59.941,47.794,39.02,-1.15,2.52,100.0,100.0,100.0,99.107,87.927,98.494,98.837,0.721,75.0,66.667,56.25,55.556,57.692,57.143,44.828,51.613,-0.155,85.106,76.0,75.556,74.359,66.667,76.471,70.968,80.0,0.488,83.333,78.947,75.758,74.194,66.667,60.0,55.0,60.0,-0.19,27.058,48.603,52.66,37.892,16.65,14.583,-1111.2,19.78,21.647,21.298,20.766,20.6,1.45,96.552,96.667,92.857,93.333,86.364,86.364,90.0,95.455,0.298
WY,73.077,50.0,1.2,18.182,9.74,20.382,21.019,0.23,77.358,50.0,54.809,57.961,41.554,-1075.0,59.067,50.722,47.903,-2765.0,10.507,24.036,23.529,24.138,-0.48,0.333,62.974,59.524,54.942,66.964,56.955,62.349,58.14,1.204,80.0,71.795,65.625,63.889,76.923,75.0,68.966,74.194,0.655,78.723,78.0,71.111,71.795,63.889,70.588,74.194,68.0,0.488,88.889,78.947,69.697,70.968,75.0,80.0,95.0,80.0,0.702,27.096,31.304,22.036,51.909,34.162,32.355,1611.914,0.0,1.882,2.637,2.823,2.8,0.34,72.414,66.667,53.571,60.0,45.455,50.0,75.0,59.091,0.69
