,2007 Average Daily Attendance %,2011 Average Daily Attendance %,Trend: Average Daily Attendance %,2004 Students Enrolled in Gifted Programs %,2006 Students Enrolled in Gifted Programs %,2011 Students Enrolled in Gifted Programs %,2013 Students Enrolled in Gifted Programs %,Trend: Students Enrolled in Gifted Programs %,2018 Percentage of HS Drop Outs Age 16-24,2019 8th Grade Reading Scores,2007 Average Base Teacher Salary w/ Bachelors,2011 Average Base Teacher Salary w/ Bachelors,2017 Average Base Teacher Salary w/ Bachelors,Trend: Average Base Teacher Salary w/ Bachelors,2007 Average Base Teacher Salary w/ Masters Constant Dollars,2011 Average Base Teacher Salary w/ Masters Constant Dollars,2017 Average Base Teacher Salary w/ Masters Constant Dollars,Trend: Average Base Teacher Salary w/ Masters Constant Dollars,2005 Teacher Percentage of School Staff,2010 Teacher Percentage of School Staff,2015 Teacher Percentage of School Staff,2018 Teacher Percentage of School Staff,Trend: Teacher Percentage of School Staff,2018 Number of Education Agencies,2006 Average Freshman Graduation Rate,2007 Average Freshman Graduation Rate,2008 Average Freshman Graduation Rate,2009 Average Freshman Graduation Rate,2010 Average Freshman Graduation Rate,2011 Average Freshman Graduation Rate,2012 Average Freshman Graduation Rate,Trend: Average Freshman Graduation Rate,2005 4th Grade Reading Scores,2007 4th Grade Reading Scores,2009 4th Grade Reading Scores,2011 4th Grade Reading Scores,2013 4th Grade Reading Scores,2015 4th Grade Reading Scores,2017 4th Grade Reading Scores,2019 4th Grade Reading Scores,Trend: 4th Grade Reading Scores,2005 8th Grade Math Scores,2007 8th Grade Math Scores,2009 8th Grade Math Scores,2011 8th Grade Math Scores,2013 8th Grade Math Scores,2015 8th Grade Math Scores,2017 8th Grade Math Scores,2019 8th Grade Math Scores,Trend: 8th Grade Math Scores,2005 4th Grade Math Scores,2007 4th Grade Math Scores,2009 4th Grade Math Scores,2011 4th Grade Math Scores,2013 4th Grade Math Scores,2015 4th Grade Math Scores,2017 4th Grade Math Scores,2019 4th Grade Math Scores,Trend: 4th Grade Math Scores,1979 Overall Average Teacher Salary,1989 Overall Average Teacher Salary,1999 Overall Average Teacher Salary,2009 Overall Average Teacher Salary,2017 Overall Average Teacher Salary,2018 Overall Average Teacher Salary,Trend: Overall Average Teacher Salary,2000 % of Public Schools That Are Charters,2010 % of Public Schools That Are Charters,2016 % of Public Schools That Are Charters,2017 % of Public Schools That Are Charters,2018 % of Public Schools That Are Charters,Trend: % of Public Schools That Are Charters,2010 Adjusted Cohort Graduation Rate,2011 Adjusted Cohort Graduation Rate,2012 Adjusted Cohort Graduation Rate,2013 Adjusted Cohort Graduation Rate,2014 Adjusted Cohort Graduation Rate,2015 Adjusted Cohort Graduation Rate,2016 Adjusted Cohort Graduation Rate,2017 Adjusted Cohort Graduation Rate,Trend: Adjusted Cohort Graduation Rate
MO,91.538,80.0,0.3,22.727,18.831,24.841,24.841,0.16,56.604,43.333,10.26,6.521,4.672,-1145.0,23.707,20.837,30.02,240.0,31.884,49.555,38.603,43.013,0.83,3.088,80.758,78.571,77.907,77.083,68.241,79.518,74.031,0.811,75.0,61.538,68.75,52.778,61.538,57.143,55.172,45.161,-0.143,65.957,66.0,71.111,56.41,50.0,52.941,48.387,48.0,0.25,66.667,65.789,66.667,58.065,45.833,40.0,55.0,40.0,0.238,11.928,26.512,28.701,19.76,11.14,11.137,445.857,4.945,5.176,6.085,5.645,5.8,0.46,75.862,83.333,85.714,86.667,86.364,90.909,85.0,90.909,1.024
MT,64.615,56.0,2.6,36.364,29.221,26.115,22.293,-0.64,47.17,50.0,14.917,13.274,13.962,-155.0,28.4,14.648,36.088,590.0,34.783,54.896,31.801,33.394,-1.55,2.645,79.592,77.381,74.709,71.726,65.617,78.916,66.667,0.668,85.0,76.923,71.875,66.667,65.385,64.286,51.724,58.065,-0.571,87.234,78.0,84.444,84.615,66.667,70.588,64.516,60.0,-0.452,83.333,78.947,75.758,70.968,62.5,50.0,60.0,55.0,-0.286,17.494,17.301,13.293,21.106,19.975,20.985,1428.343,0.0,0.0,0.0,0.0,0.0,0.0,79.31,83.333,78.571,80.0,77.273,77.273,75.0,77.273,0.536
NE,92.308,74.0,-0.1,80.303,69.481,74.522,74.522,0.22,79.245,46.667,8.1,13.969,9.732,90.0,23.067,28.795,22.2,-1225.0,31.159,40.95,32.721,33.031,-0.79,1.519,93.586,82.738,77.326,77.381,81.627,100.0,100.0,1.632,75.0,66.667,65.625,61.111,65.385,71.429,58.621,58.065,0.286,82.979,72.0,66.667,58.974,55.556,67.647,70.968,64.0,0.417,75.0,63.158,60.606,58.065,58.333,65.0,85.0,70.0,1.19,10.846,19.32,18.158,22.534,23.63,22.156,1989.771,0.0,0.0,0.0,0.0,0.0,0.0,93.103,96.667,96.429,96.667,90.909,90.909,90.0,90.909,0.298
NV,81.538,56.0,0.4,8.333,7.792,12.102,19.108,0.43,9.433999999999997,26.667,31.792,37.67,26.486,-390.0,39.973,30.651,41.663,-450.0,86.594,89.318,100.0,100.0,7.72,0.109,0.0,0.893,0.0,0.0,0.0,0.0,0.0,1.739,40.0,35.897,28.125,33.333,30.769,25.0,27.586,45.161,1.274,53.191,46.0,44.444,46.154,36.111,35.294,29.032,20.0,0.607,52.778,47.368,48.485,48.387,29.167,15.0,15.0,30.0,0.452,28.938,42.512,44.975,38.685,23.802,21.595,-284.371,8.791,12.471,15.213,20.968,23.2,2.51,10.345,13.333,32.143,30.0,9.091,22.727,50.0,63.636,2.94
NH,71.538,0.0,-1.1,11.364,12.338,8.28,5.732,-0.45,94.34,60.0,47.384,49.553,42.438,185.0,44.107,36.163,47.583,-25.0,18.841,33.531,27.022,25.953,-1.0,1.662,80.175,81.25,81.395,84.821,73.228,82.831,76.744,0.946,90.0,82.051,84.375,80.556,100.0,89.286,75.862,64.516,-0.119,85.106,80.0,84.444,82.051,86.111,91.176,87.097,72.0,0.583,97.222,92.105,96.97,96.774,100.0,90.0,80.0,75.0,-0.381,7.597,35.17,37.759,38.437,32.841,31.184,2448.771,0.0,6.824,12.779,12.702,14.6,1.8,93.103,90.0,89.286,90.0,86.364,86.364,90.0,90.909,0.464
NJ,90.0,48.0,-1.1,46.212,40.909,40.764,35.669,-0.35,96.226,66.667,90.415,96.69,84.545,1425.0,87.307,76.304,84.312,-680.0,35.87,56.677,31.434,31.397,-2.05,3.717,88.047,85.119,84.302,87.5,73.228,81.024,83.721,0.679,80.0,87.179,84.375,83.333,88.462,78.571,89.655,74.194,0.429,82.979,82.0,86.667,87.179,86.111,88.235,83.871,92.0,0.869,91.667,92.105,84.848,83.871,75.0,70.0,95.0,80.0,0.024,34.578,65.784,100.0,80.17,63.59,61.114,2001.114,12.088,6.824,6.897,6.855,6.8,0.29,82.759,90.0,92.857,93.333,95.455,95.455,100.0,100.0,1.048
NM,69.231,34.0,0.9,75.0,21.429,28.662,26.752,-1.8,0.0,6.667,30.881,24.263,16.533,-2055.0,23.36,27.999,24.938,-725.0,9.42,38.279,48.346,46.642,4.2,0.82,14.286,32.143,24.709,28.274,31.496,44.578,15.891,2.086,40.0,38.462,18.75,19.444,0.0,0.0,3.448,12.903,-0.214,38.298,40.0,35.556,35.897,22.222,23.529,9.677,0.0,0.583,36.111,36.842,33.333,35.484,16.667,0.0,5.0,5.0,0.738,19.773,15.814,15.181,22.628,5.664,5.586,-60.057,7.143,22.118,23.124,22.177,22.0,2.1,13.793,36.667,28.571,26.667,0.0,9.091,0.0,22.727,1.012
NY,75.385,32.0,0.0,10.606,14.286,8.917,8.917,-0.29,67.925,40.0,65.947,94.273,68.095,2075.0,100.0,100.0,100.0,120.0,55.435,46.884,43.75,40.29,-1.2,5.52,42.857,44.345,50.0,54.167,49.606,53.012,42.636,1.618,80.0,69.231,68.75,58.333,69.231,57.143,51.724,51.613,-0.381,74.468,64.0,64.444,51.282,47.222,50.0,51.613,44.0,0.036,75.0,76.316,66.667,51.613,45.833,30.0,35.0,35.0,-0.619,51.836,80.653,95.662,100.0,100.0,100.0,3961.371,4.945,8.471,11.359,11.694,12.2,1.26,62.069,60.0,53.571,56.667,45.455,50.0,55.0,59.091,0.833
NC,74.615,72.0,2.1,76.515,65.584,66.879,61.783,-0.29,54.717,43.333,19.642,10.262,12.745,-1075.0,8.293,8.871,17.637,620.0,33.333,46.588,37.868,37.568,-0.13,1.711,41.983,50.0,54.651,56.845,47.507,57.831,50.388,1.757,65.0,53.846,53.125,55.556,61.538,67.857,58.621,54.839,0.952,78.723,72.0,66.667,66.667,58.333,52.941,51.613,60.0,-0.06,83.333,73.684,75.758,74.194,66.667,65.0,60.0,55.0,-0.06,14.76,30.123,45.036,24.433,16.044,20.838,726.514,22.527,9.176,12.982,13.105,14.0,0.84,65.517,70.0,75.0,76.667,77.273,77.273,80.0,77.273,1.214
ND,100.0,82.0,-0.7,17.424,13.636,20.382,12.739,-0.19,92.453,43.333,10.53,20.622,28.173,3065.0,37.413,21.869,39.023,-505.0,34.783,48.961,36.029,34.664,-0.91,1.224,84.257,82.738,90.407,91.071,82.677,95.181,92.636,1.511,85.0,74.359,75.0,69.444,69.231,64.286,51.724,54.839,-0.631,89.362,88.0,86.667,82.051,72.222,73.529,70.968,68.0,-0.512,88.889,81.579,78.788,74.194,70.833,70.0,75.0,65.0,-0.048,9.2,7.851,3.452,12.584,20.162,19.496,2299.029,0.0,0.0,0.0,0.0,0.0,0.0,93.103,93.333,92.857,86.667,81.818,86.364,80.0,86.364,0.167
